Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-11-26,56.636,57.334,56.356,57.055,831247
2015-11-27,57.055,57.112,55.511,56.234,1319942
2015-11-30,56.234,56.546,54.838,55.765,3187116
2015-12-01,56.193,56.8,55.274,55.412,1420895
2015-12-02,55.782,55.841,54.133,54.633,1376813
2015-12-03,54.715,55.692,53.794,54.133,1346476
2015-12-04,53.607,54.453,51.513,54.421,2615218
2015-12-07,54.592,56.234,54.239,54.641,873703
2015-12-08,55.085,55.659,53.731,53.852,2270477
2015-12-09,54.125,54.469,52.186,52.186,1841645
2015-12-10,52.211,52.777,51.062,51.8,1349582
2015-12-11,52.129,53.114,51.325,51.957,2052646
2015-12-14,51.965,52.768,51.769,52.129,1326602
2015-12-15,52.392,52.745,52.047,52.334,1031590
2015-12-16,52.54,52.941,51.965,52.334,1252250
2015-12-17,52.507,54.592,52.358,54.173,1305113
2015-12-18,53.771,54.232,52.851,52.933,2751874
2015-12-21,52.95,54.421,52.786,54.183,911283
2015-12-22,54.305,56.029,53.852,55.388,1335814
2015-12-23,55.823,56.356,54.863,55.306,670172
2015-12-28,55.011,56.439,55.002,55.683,288085
2015-12-29,56.234,57.375,55.947,56.012,772178
2015-12-30,56.02,56.816,55.659,55.7,830555
2016-01-04,54.183,54.691,52.989,53.319,1214001
2016-01-05,53.689,54.247,52.622,53.098,1102927
2016-01-07,52.507,55.348,52.145,53.156,1881736
2016-01-08,53.377,53.573,51.489,51.883,1040636
2016-01-11,51.701,53.607,51.331,53.063,1690639
2016-01-12,53.402,54.633,52.917,53.591,1697814
2016-01-13,53.935,54.519,53.607,53.852,1271368
2016-01-14,53.36,53.689,52.113,52.984,1143532
2016-01-15,52.548,53.597,52.392,53.229,1069461
2016-01-18,53.197,53.533,52.154,52.154,795994
2016-01-19,52.728,54.066,52.663,53.689,1030654
2016-01-20,52.409,54.346,52.409,52.811,2072804
2016-01-21,53.197,54.223,52.762,53.722,1421467
2016-01-22,53.722,54.321,53.106,53.343,1709339
2016-01-25,53.731,54.173,52.442,54.066,1262180
2016-01-26,53.278,54.297,53.205,53.311,1397728
2016-01-27,53.04,53.402,51.72,52.49,1789423
2016-01-28,52.235,52.989,51.078,51.226,1798247
2016-01-29,51.603,52.121,49.379,51.103,2182551
2016-02-01,51.3,51.3,49.994,50.429,1362665
2016-02-02,50.676,50.849,49.453,49.559,1614290
2016-02-03,49.518,49.674,47.614,48.113,2224771
2016-02-04,48.024,48.673,47.738,48.6,1239052
2016-02-05,48.845,50.331,48.443,50.093,1222231
2016-02-08,50.077,50.561,49.281,49.871,1476948
2016-02-09,49.912,49.912,48.402,49.174,1309182
2016-02-10,49.256,49.395,47.778,47.802,1397172
2016-02-11,47.703,47.86,46.711,47.531,1058587
2016-02-12,47.516,47.86,46.637,47.318,943418
2016-02-15,47.941,48.09,46.647,47.531,1239185
2016-02-16,47.285,48.361,46.381,48.361,1378742
2016-02-17,48.418,51.627,48.369,51.627,1827293
2016-02-18,51.637,52.573,50.988,51.72,2194401
2016-02-19,51.504,52.737,51.481,52.4,1365712
2016-02-22,52.555,53.188,52.555,53.156,1095600
2016-02-23,52.203,52.507,51.087,51.907,1173464
2016-02-24,51.923,53.098,51.168,51.307,1898565
2016-02-25,51.72,52.038,50.774,51.777,1088023
2016-02-26,52.031,53.114,51.907,52.654,1694186
2016-02-29,52.129,52.499,51.504,52.474,1646135
2016-03-01,52.474,52.826,51.3,51.858,1331930
2016-03-02,52.129,52.211,50.454,50.792,1042970
2016-03-03,51.144,53.139,50.125,53.139,1968264
2016-03-04,52.984,53.114,52.047,52.851,906185
2016-03-07,52.54,54.264,52.53,54.059,2031473
2016-03-08,53.36,53.36,51.579,52.54,3124138
2016-03-09,52.481,52.639,51.513,51.809,1692371
2016-03-10,51.809,52.129,50.954,51.234,1970016
2016-03-11,51.472,52.909,51.431,52.54,1620618
2016-03-14,52.548,53.082,51.489,51.99,1303842
2016-03-15,51.907,52.375,51.76,52.113,924893
2016-03-16,52.186,52.639,51.883,52.639,986758
2016-03-17,51.809,54.469,51.809,53.91,1417338
2016-03-18,54.083,55.576,53.484,55.511,2931124
2016-03-21,55.249,55.897,54.722,55.823,1992074
2016-03-22,55.864,56.48,55.043,56.003,1725092
2016-03-23,55.841,56.282,55.011,55.675,1093415
2016-03-24,55.412,57.292,55.076,57.292,1450067
2016-03-29,57.055,58.663,56.833,58.401,2101555
2016-03-30,58.491,60.57,58.491,60.57,2172956
2016-03-31,57.466,60.668,56.645,60.668,2760202
2016-04-01,59.953,60.526,58.951,59.526,1301982
2016-04-04,59.271,60.494,58.983,60.462,836828
2016-04-05,60.175,60.42,59.133,59.32,1658426
2016-04-06,59.37,60.009,57.572,58.039,1007937
2016-04-07,58.466,58.656,56.899,57.466,1312806
2016-04-08,57.818,58.893,57.539,58.17,897660
2016-04-11,58.057,58.844,57.743,58.393,728203
2016-04-12,58.368,58.508,57.055,57.712,838033
2016-04-13,57.875,59.518,57.875,59.114,763761
2016-04-14,58.844,59.74,58.696,59.304,609900
2016-04-15,59.386,59.682,58.572,59.083,892891
2016-04-18,58.779,58.951,58.121,58.435,983225
2016-04-19,58.598,60.535,58.598,60.083,1166866
2016-04-20,60.009,60.618,59.797,60.322,1663157
2016-04-21,60.256,60.338,58.663,59,1564324
2016-04-22,59.107,59.189,56.997,57.474,1490203
2016-04-25,57.228,57.834,56.455,57.466,868825
2016-04-26,57.466,57.753,56.914,57.466,1399117
2016-04-27,57.144,57.916,56.02,56.267,1277807
2016-04-28,56.07,57.9,55.749,57.285,1335892
2016-04-29,57.589,57.589,56.423,56.439,1395320
2016-05-02,56.767,57.547,55.774,56.356,541501
2016-05-04,56.356,56.776,54.633,55.167,1263864
2016-05-05,55.167,55.412,53.631,54.879,866559
2016-05-06,54.829,55.207,53.508,54.649,1245194
2016-05-09,54.895,55.659,54.297,54.715,718652
2016-05-10,54.871,55.412,53.36,54.017,1060144
2016-05-11,54.017,56.184,53.689,55.462,1085878
2016-05-12,55.897,56.957,55.897,56.686,1053602
2016-05-13,56.686,56.89,56.34,56.439,884795
2016-05-16,56.423,57.694,56.423,56.759,795694
2016-05-17,56.848,57.423,55.823,55.864,673213
2016-05-18,55.864,56.234,55.354,55.57,880850
2016-05-19,55.496,56.267,54.435,54.559,943434
2016-05-20,54.509,56.512,53.96,56.512,996439
2016-05-23,56.48,56.652,55.486,56.012,547078
2016-05-24,56.209,56.989,55.602,56.808,829843
2016-05-25,56.972,58.285,56.726,57.466,1583374
2016-05-27,57.9,58.121,56.447,56.89,1051981
2016-05-30,56.89,57.055,56.48,56.645,347333
2016-05-31,56.784,57.753,56.784,56.791,2120146
2016-06-01,57.055,57.704,56.39,56.645,1379138
2016-06-02,56.645,56.89,56.02,56.398,968225
2016-06-03,56.562,57.325,56.053,57.006,1078484
2016-06-06,57.136,57.179,55.496,55.742,877145
